상호명,상권업종소분류명,시도명,시군구명,경도,위도
커브스무실클럽,헬스장,강원특별자치도,원주시,127.927401515097,37.3367935868303
핏불피트니스,헬스장,강원특별자치도,춘천시,127.733145835792,37.8986046713156
유진헬스클럽,헬스장,강원특별자치도,원주시,127.943421096654,37.3319817271429
앤비프라이빗짐,헬스장,강원특별자치도,원주시,127.988034149553,37.3250042420927
제이케이짐,헬스장,강원특별자치도,춘천시,127.751032847078,37.8541121247509
빡쌤다이나믹댄스,헬스장,강원특별자치도,춘천시,127.726203699055,37.86087171359
신화휘트니스센터,헬스장,강원특별자치도,강릉시,128.895800126227,37.7434136101869
익투스짐,헬스장,강원특별자치도,춘천시,127.757095076372,37.8580283938876
히든헬스클럽,헬스장,강원특별자치도,원주시,127.939113618713,37.340359247104
청초스포츠센타,헬스장,강원특별자치도,속초시,128.593795252523,38.1901571966419
카펠라휘트니스센터,헬스장,강원특별자치도,춘천시,127.74486027309,37.8504575069318
바디아카데미,헬스장,강원특별자치도,원주시,127.929153999938,37.3334100969022
커브스단구클럽,헬스장,강원특별자치도,원주시,127.948464074483,37.3310313965668
웰니스피트니스센타,헬스장,강원특별자치도,원주시,127.946633919774,37.331748833747
오!로라다이어트스피닝센터,헬스장,강원특별자치도,동해시,129.119616066296,37.5208518151223
비포앤애프터프라이빗짐,헬스장,강원특별자치도,춘천시,127.755592557447,37.8933814937253
득근GYM,헬스장,강원특별자치도,춘천시,127.757698154861,37.8558893062006
스타핏,헬스장,강원특별자치도,강릉시,128.875395407151,37.7633335305146
YES스피닝,헬스장,강원특별자치도,평창군,128.561444992264,37.6435990747582
바디업휘트니스,헬스장,강원특별자치도,인제군,128.174914790275,38.0658949554507
성일헬스클럽,헬스장,강원특별자치도,횡성군,127.98584752293,37.4854879657876
에프오피트니스,헬스장,강원특별자치도,강릉시,128.878487051329,37.7657796104308
커브스교동클럽,헬스장,강원특별자치도,삼척시,129.165888910122,37.4434675351272
마강호헬스클럽,헬스장,강원특별자치도,강릉시,128.906682902918,37.7656509368962
에스휘트니스,헬스장,강원특별자치도,춘천시,127.723905027573,37.8593813104619
